pid,title,published_date,event_date,url
11463,112年7月26日天然災害停止辦公及上課情形,2023-07-27,2023-07-26,https://www.dgpa.gov.tw/information?uid=374&pid=11463
11462,112年7月25日天然災害停止辦公及上課情形,2023-07-25,2023-07-25,https://www.dgpa.gov.tw/information?uid=374&pid=11462
11405,112年5月31日天然災害停止辦公及上課情形,2023-06-01,2023-05-31,https://www.dgpa.gov.tw/information?uid=374&pid=11405
11403,112年5月30日天然災害停止辦公及上課情形,2023-05-31,2023-05-30,https://www.dgpa.gov.tw/information?uid=374&pid=11403
11394,112年5月19日天然災害停止辦公及上課情形,2023-05-19,2023-05-19,https://www.dgpa.gov.tw/information?uid=374&pid=11394
11391,112年4月20日天然災害停止辦公及上課情形,2023-04-20,2023-04-20,https://www.dgpa.gov.tw/information?uid=374&pid=11391
11154,111年10月31日天然災害停止辦公及上課情形,2022-11-01,2022-10-31,https://www.dgpa.gov.tw/information?uid=374&pid=11154
11130,111年10月16日天然災害停止辦公及上課情形,2022-10-17,2022-10-16,https://www.dgpa.gov.tw/information?uid=374&pid=11130
11125,111年10月8日天然災害停止辦公及上課情形,2022-10-11,2022-10-08,https://www.dgpa.gov.tw/information?uid=374&pid=11125
11124,111年10月7日天然災害停止辦公及上課情形,2022-10-11,2022-10-07,https://www.dgpa.gov.tw/information?uid=374&pid=11124
11110,111年9月19日天然災害停止辦公及上課情形,2022-09-20,2022-09-19,https://www.dgpa.gov.tw/information?uid=374&pid=11110
11109,111年9月18日天然災害停止辦公及上課情形,2022-09-19,2022-09-18,https://www.dgpa.gov.tw/information?uid=374&pid=11109
11099,111年9月13日天然災害停止辦公及上課情形,2022-09-14,2022-09-13,https://www.dgpa.gov.tw/information?uid=374&pid=11099
11097,111年9月12日天然災害停止辦公及上課情形,2022-09-13,2022-09-12,https://www.dgpa.gov.tw/information?uid=374&pid=11097
11091,111年9月11日天然災害停止辦公及上課情形,2022-09-12,2022-09-11,https://www.dgpa.gov.tw/information?uid=374&pid=11091
11087,111年9月5日天然災害停止辦公及上課情形,2022-09-06,2022-09-05,https://www.dgpa.gov.tw/information?uid=374&pid=11087
11086,111年9月4日天然災害停止辦公及上課情形,2022-09-05,2022-09-04,https://www.dgpa.gov.tw/information?uid=374&pid=11086
11085,111年9月3日天然災害停止辦公及上課情形,2022-09-05,2022-09-03,https://www.dgpa.gov.tw/information?uid=374&pid=11085
11084,111年9月2日天然災害停止辦公及上課情形,2022-09-05,2022-09-02,https://www.dgpa.gov.tw/information?uid=374&pid=11084
10767,110年10月14日天然災害停止辦公及上課情形,2021-10-15,2021-10-14,https://www.dgpa.gov.tw/information?uid=374&pid=10767
10765,110年10月13日天然災害停止辦公及上課情形,2021-10-14,2021-10-13,https://www.dgpa.gov.tw/information?uid=374&pid=10765
10763,110年10月12日天然災害停止辦公及上課情形,2021-10-13,2021-10-12,https://www.dgpa.gov.tw/information?uid=374&pid=10763
10762,110年10月11日天然災害停止辦公及上課情形,2021-10-12,2021-10-11,https://www.dgpa.gov.tw/information?uid=374&pid=10762
10744,110年9月14日天然災害停止辦公及上課情形,2021-09-16,2021-09-14,https://www.dgpa.gov.tw/information?uid=374&pid=10744
10742,110年9月13日天然災害停止辦公及上課情形,2021-09-14,2021-09-13,https://www.dgpa.gov.tw/information?uid=374&pid=10742
10738,110年9月12日天然災害停止辦公及上課情形,2021-09-13,2021-09-12,https://www.dgpa.gov.tw/information?uid=374&pid=10738
10737,110年9月11日天然災害停止辦公及上課情形,2021-09-13,2021-09-11,https://www.dgpa.gov.tw/information?uid=374&pid=10737
10735,110年9月10日天然災害停止辦公及上課情形,2021-09-11,2021-09-10,https://www.dgpa.gov.tw/information?uid=374&pid=10735
10709,110年8月11日天然災害停止辦公及上課情形,2021-08-12,2021-08-11,https://www.dgpa.gov.tw/information?uid=374&pid=10709
10708,110年8月10日天然災害停止辦公及上課情形,2021-08-11,2021-08-10,https://www.dgpa.gov.tw/information?uid=374&pid=10708
10707,110年8月9日天然災害停止辦公及上課情形,2021-08-10,2021-08-09,https://www.dgpa.gov.tw/information?uid=374&pid=10707
10706,110年8月8日天然災害停止辦公及上課情形,2021-08-09,2021-08-08,https://www.dgpa.gov.tw/information?uid=374&pid=10706
10705,110年8月7日天然災害停止辦公及上課情形,2021-08-09,2021-08-07,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10704,110年8月6日天然災害停止辦公及上課情形,2021-08-09,2021-08-06,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10703,110年8月5日天然災害停止辦公及上課情形,2021-08-06,2021-08-05,https://www.dgpa.gov.tw/information?uid=374&pid=10703
10701,110年8月2日天然災害停止辦公及上課情形,2021-08-03,2021-08-02,https://www.dgpa.gov.tw/information?uid=374&pid=10701
10700,110年8月1日天然災害停止辦公及上課情形,2021-08-02,2021-08-01,https://www.dgpa.gov.tw/information?uid=374&pid=10700
10699,110年7月31日天然災害停止辦公及上課情形,2021-08-02,2021-07-31,https://www.dgpa.gov.tw/information?uid=374&pid=10699
10697,110年7月24日天然災害停止辦公及上課情形,2021-07-26,2021-07-24,https://www.dgpa.gov.tw/information?uid=374&pid=10697
10696,110年7月23日天然災害停止辦公及上課情形,2021-07-26,2021-07-23,https://www.dgpa.gov.tw/information?uid=374&pid=10696
10695,110年7月22日天然災害停止辦公及上課情形,2021-07-23,2021-07-22,https://www.dgpa.gov.tw/information?uid=374&pid=10695
10677,110年6月24日天然災害停止辦公及上課情形,2021-06-25,2021-06-24,https://www.dgpa.gov.tw/information?uid=374&pid=10677
10672,110年6月22日天然災害停止辦公及上課情形,2021-06-23,2021-06-22,https://www.dgpa.gov.tw/information?uid=374&pid=10672
10670,110年6月21日天然災害停止辦公及上課情形,2021-06-22,2021-06-21,https://www.dgpa.gov.tw/information?uid=374&pid=10670
10658,110年6月4日天然災害停止辦公及上課情形,2021-06-07,2021-06-04,https://www.dgpa.gov.tw/information?uid=374&pid=10658
10657,110年6月3日天然災害停止辦公及上課情形,2021-06-04,2021-06-03,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10640,110年4月13日天然災害停止辦公及上課情形,2021-05-06,2021-04-13,https://www.dgpa.gov.tw/information?uid=374&pid=10640
10537,110年1月12日天然災害停止辦公及上課情形,2021-01-13,2021-01-12,https://www.dgpa.gov.tw/information?uid=374&pid=10537
10536,110年1月8日天然災害停止辦公及上課情形,2021-01-13,2021-01-08,https://www.dgpa.gov.tw/information?uid=374&pid=10536
