notice_pid,notice_date,county,work_status,class_status,period,stopped_score,raw_text,source_url
10307,2020-11-07,嘉義市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,嘉義縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,臺南市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,高雄市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,屏東縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,宜蘭縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,花蓮縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,臺東縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,澎湖縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,連江縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,金門縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10524,2020-12-30,桃園市,stopped,stopped,full_day,1.0,桃園市復興區三光國民小學:明天停止上班、停止上課。 桃園市復興區巴崚國民小學:明天停止上班、停止上課。 桃園市復興區立幼兒園華陵分班:明天停止上班、停止上課。 桃園市復興區光華國民小學:明天停止上班、停止上課。 桃園市復興區高義國民小學:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10524
10525,2020-12-31,桃園市,stopped,stopped,full_day,1.0,桃園市復興區三光國民小學:今天停止上班、停止上課。 桃園市復興區巴崚國民小學:今天停止上班、停止上課。 桃園市復興區立幼兒園華陵分班:今天停止上班、停止上課。 桃園市復興區光華國民小學:今天停止上班、停止上課。 桃園市復興區高義國民小學:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10525
10525,2020-12-31,新竹縣,normal,stopped,afternoon,0.5,尖石鄉玉峰國民小學:今天下午照常上班、停止上課。 尖石鄉石磊國民小學:今天下午照常上班、停止上課。 尖石鄉秀巒國民小學:今天下午照常上班、停止上課。 尖石鄉新光國民小學:今天下午照常上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10525
10536,2021-01-08,桃園市,stopped,stopped,full_day,1.0,桃園市復興區立幼兒園華陵分班:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10536
10537,2021-01-12,新竹縣,stopped,stopped,full_day,1.0,尖石鄉玉峰國民小學:今天停止上班、停止上課。 尖石鄉秀巒國民小學:今天停止上班、停止上課。 尖石鄉新光國民小學:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10537
10640,2021-04-13,南投縣,normal,stopped,full_day,1.0,南投縣立魚池國民中學:今天照常上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10640
